#{"t_start": 1627114136.2815473, "env_id": null}
r,l,t
0.387963,2,11.756987
23.837769,2,66.773928
3.366841,2,80.126639
6.224529,2,102.372736
4.838668,2,118.13681
9.260807,2,144.359012
1.690766,2,153.71138
4.158206,2,170.495868
0.741981,2,179.566313
4.312914,2,193.588374
8.910105,2,218.323512
28.699394,2,280.477703
18.659075,2,318.034369
7.771338,2,337.494093
2.254692,2,348.064186
1.522069,2,357.26797
3.89061,2,371.238515
12.544178,2,399.635334
0.818373,2,408.321954
6.498592,2,426.667555
0.552716,2,433.713644
4.609768,2,449.404678
1.511886,2,459.05163
0.569499,2,466.141728
1.435141,2,476.730687
0.021997,2,483.367137
1.517808,2,491.83162
1.458125,2,502.659626
0.177078,2,509.18184
0.806423,2,518.60854
2.033604,2,530.742836
4.298785,2,544.821392
11.522472,2,576.454827
32.195188,2,637.764178
0.973524,2,647.73913
1.822994,2,657.63205
1.073852,2,667.094783
3.842947,2,681.426594
0.42548,2,688.625992
2.53776,2,703.337087
5.770689,2,721.548473
0.502217,2,728.370543
7.439581,2,747.990925
0.81333,2,757.238223
1.73931,2,767.021011
0.259272,2,774.153686
1.576704,2,784.268969
0.001999,2,790.087279
6.510241,2,808.635129
12.670759,2,844.838473
5.635509,2,864.394576
4.230684,2,879.021031
0.680246,2,887.871738
1.731528,2,897.050154
9.553511,2,921.157633
0.169325,2,929.210957
6.363389,2,948.731683
9.906871,2,972.373208
3.453522,2,986.480977
8.695102,2,1009.130875
1.738357,2,1019.586345
0.028,2,1025.352464
6.137712,2,1042.9984
1.42316,2,1053.200806
10.023073,2,1083.192213
13.717233,2,1116.895205
1.990954,2,1127.762532
0.105503,2,1133.475605
0.258064,2,1140.165191
0.338236,2,1146.759999
1.741742,2,1157.271738
0.83559,2,1185.272943
6.905869,2,1205.60952
1.151569,2,1214.057511
6.912818,2,1234.836457
3.97486,2,1249.182585
0.240539,2,1256.165141
0.852239,2,1264.576376
0.739998,2,1272.699595
0.96489,2,1280.918025
2.022097,2,1292.816874
0.005366,2,1298.893706
0.937939,2,1307.143335
6.044318,2,1325.429094
0.005998,2,1331.25367
1.088319,2,1339.365243
0.69364,2,1347.326132
0.785593,2,1356.740872
1.316038,2,1365.559376
1.572178,2,1374.653948
0.703146,2,1383.961208
9.522045,2,1407.905713
0.300663,2,1415.543024
3.21494,2,1430.893883
9.124565,2,1458.131964
26.696079,2,1515.753088
6.299068,2,1534.353701
6.620459,2,1553.309258
28.857666,2,1614.350338
11.087329,2,1647.085199
15.021916,2,1681.328606
0.623998,2,1689.474077
0,2,1695.890138
0.017993,2,1701.694971
1.248815,2,1710.316013
4.385853,2,1724.56061
15.207448,2,1756.335916
6.54902,2,1774.495492
7.587991,2,1793.561202
15.365514,2,1827.012819
0.883083,2,1835.260863
0.148225,2,1841.160437
1.1836,2,1849.694684
0.919326,2,1857.54864
12.151256,2,1886.424098
1.482649,2,1896.049141
26.477686,2,1957.820759
4.042384,2,1972.136604
0.227134,2,1979.756873
1.736267,2,1989.234863
1.309086,2,1999.124808
18.033255,2,2037.322364
4.344418,2,2051.234961
3.84567,2,2064.525076
9.915666,2,2091.852432
3.597434,2,2105.958512
0.856968,2,2132.060783
3.595452,2,2145.751464
7.208332,2,2166.196324
0.452139,2,2173.013338
6.079585,2,2193.668151
4.492871,2,2208.084622
17.386652,2,2252.786783
3.452092,2,2265.940001
9.128267,2,2287.285867
0.26382,2,2294.821458
1.662505,2,2304.876559
0,2,2310.766108
0,2,2317.122407
1.991026,2,2328.253655
1.356726,2,2338.700308
8.693738,2,2365.83
1.62711,2,2375.088091
10.930771,2,2406.799604
1.707978,2,2416.569837
1.346548,2,2426.415175
10.00818,2,2453.198493
1.636515,2,2462.710221
6.629988,2,2483.480645
0.368356,2,2490.229109
0.19732,2,2496.925044
5.636115,2,2516.616685
3.411729,2,2529.813157
6.495232,2,2549.44649
2.243541,2,2560.203366
0.463406,2,2568.081933
3.955282,2,2601.916347
1.711205,2,2612.406915
2.119239,2,2622.960851
6.275747,2,2643.942827
5.197253,2,2664.22036
26.059811,2,2722.999744
1.085449,2,2733.179894
3.303953,2,2746.690288
15.407856,2,2782.171142
1.607568,2,2791.545318
1.248825,2,2802.186463
3.380764,2,2816.360781
5.980464,2,2839.352566
0.481106,2,2846.934768
2.188046,2,2859.716547
3.869355,2,2874.366922
2.095076,2,2883.756661
6.831619,2,2903.405376
1.876702,2,2915.959183
4.654784,2,2931.229088
3.319236,2,2949.020324
4.777813,2,2963.882437
0.53457,2,2971.473434
0.545717,2,2978.57651
27.480433,2,3029.765547
12.833386,2,3062.662454
1.466092,2,3072.891202
17.567896,2,3111.568825
1.19569,2,3121.525477
34.08783,2,3188.809366
0.458038,2,3196.726175
0.833955,2,3206.186414
0,2,3212.450006
2.927962,2,3227.144718
14.356555,2,3260.603647
0.264436,2,3267.543093
1.379611,2,3276.308259
10.098395,2,3298.958492
1.095473,2,3308.423731
1.390892,2,3320.087683
7.196511,2,3339.240624
38.71689,2,3416.751368
0.216081,2,3423.266698
67.39164,2,3550.509716
0.229528,2,3556.716819
4.446187,2,3572.431537
0.196619,2,3579.164818
1.919115,2,3591.262016
18.161339,2,3633.067681
4.68728,2,3651.657618
1.317607,2,3661.876576
15.784711,2,3697.740866
28.656139,2,3765.085225
0.832821,2,3774.232909
39.297554,2,3855.103028
0.181026,2,3861.507306
32.454326,2,3922.950139
20.205914,2,3965.691617
7.47803,2,3986.878272
36.094136,2,4061.093148
4.757056,2,4077.017286
7.04214,2,4096.644412
0.964819,2,4105.66683
3.953984,2,4120.523887
14.723572,2,4151.080059
1.75118,2,4160.162307
6.849794,2,4179.437178
0.626563,2,4186.899745
7.698538,2,4207.734227
29.601669,2,4266.171533
1.199584,2,4275.152464
1.314211,2,4284.635223
16.629161,2,4320.369629
29.329369,2,4376.424047
59.183805,2,4485.72527
1.726016,2,4496.43647
0.867239,2,4504.996382
1.710576,2,4514.251154
26.441921,2,4569.405571
71.010041,2,4704.825942
1.263145,2,4715.88781
32.965057,2,4776.810634
0.007997,2,4783.100389
24.266948,2,4831.809827
6.798194,2,4849.971036
23.824737,2,4900.387953
2.105596,2,4910.11817
20.61902,2,4955.94283
16.359005,2,4992.072587
17.960813,2,5031.276388
28.240868,2,5091.704459
3.550662,2,5106.062674
15.347476,2,5140.322054
34.310875,2,5211.484837
0.705448,2,5219.693025
4.153522,2,5237.246627
8.705539,2,5262.279672
77.966645,2,5404.740887
0.754187,2,5412.785625
3.268172,2,5427.40632
21.332448,2,5472.279306
6.382354,2,5493.495022
13.158212,2,5525.264511
3.992199,2,5539.697624
27.714055,2,5606.7877
34.258338,2,5679.290121
62.15257,2,5799.775682
9.767167,2,5825.222912
6.008068,2,5845.831863
72.085495,2,5975.54931
1.442595,2,5985.96428
33.866069,2,6057.158275
0.965829,2,6065.973217
30.208332,2,6123.793162
29.482913,2,6182.948538
25.918018,2,6238.455882
52.925104,2,6336.496775
26.858333,2,6389.503481
6.616984,2,6410.529309
15.005504,2,6443.666952
30.628903,2,6508.884028
9.266318,2,6534.970373
34.162412,2,6605.898364
15.84218,2,6647.28628
1.623424,2,6656.63287
12.536251,2,6685.338613
0.021996,2,6690.631152
18.12411,2,6731.320462
37.309287,2,6802.236066
34.36689,2,6867.439262
45.774319,2,6956.111295
0.741469,2,6965.027867
15.46862,2,7000.371246
0.819024,2,7009.624509
18.094122,2,7048.495806
12.753904,2,7079.463743
23.581286,2,7129.715192
42.410335,2,7217.192196
0.025999,2,7223.475894
84.984176,2,7374.270773
10.094805,2,7399.63249
40.360735,2,7475.014572
48.314519,2,7569.910605
0.42091,2,7577.157376
36.969755,2,7648.454038
26.310555,2,7702.864725
21.229226,2,7750.668594
3.583762,2,7764.387158
55.459271,2,7873.121973
19.943303,2,7919.777365
63.679411,2,8039.173755
50.0205,2,8138.863822
28.873425,2,8199.598258
13.159532,2,8228.846998
26.411066,2,8281.603754
4.926213,2,8296.654015
24.28537,2,8345.347636
20.970242,2,8391.308127
10.134071,2,8414.123355
1.132817,2,8423.743214
30.074398,2,8483.795114
52.289964,2,8583.783149
42.888161,2,8667.847645
62.808078,2,8785.869698
20.926371,2,8831.994403
53.896804,2,8935.483458
29.680934,2,8998.347517
45.412305,2,9088.980435
3.974648,2,9102.423802
28.776317,2,9160.199474
40.024934,2,9235.612154
14.605296,2,9270.345082
6.789955,2,9288.815319
83.674093,2,9446.520287
52.148744,2,9539.142298
37.926112,2,9610.256414
22.967336,2,9661.833028
1.074525,2,9671.270916
4.610474,2,9687.368424
42.980052,2,9770.301229
85.765926,2,9932.835303
45.198243,2,10021.948819
20.393615,2,10065.604808
35.806782,2,10132.783443
18.23676,2,10171.490401
15.467689,2,10205.888867
18.360418,2,10244.335395
57.413463,2,10346.407755
40.628004,2,10425.515593
20.714927,2,10472.641767
7.539276,2,10492.077068
8.630772,2,10516.413955
76.685183,2,10655.776165
24.008253,2,10705.62748
46.847989,2,10793.958693
43.450114,2,10878.828965
6.156497,2,10896.600665
13.219775,2,10925.329533
56.189252,2,11034.892348
45.623253,2,11124.52021
42.797579,2,11210.027946
58.752041,2,11325.794303
10.472691,2,11351.054132
2.199614,2,11360.912302
42.49018,2,11442.912002
22.292009,2,11491.555583
71.307233,2,11621.474464
82.643122,2,11774.721654
20.635258,2,11821.923002
36.1024,2,11896.236962
86.02949,2,12054.375047
21.430051,2,12099.633311
15.651809,2,12138.053499
29.475962,2,12195.922049
20.317409,2,12237.520725
12.561156,2,12267.006199
62.643531,2,12379.964884
29.176907,2,12442.078976
34.62821,2,12513.800345
60.790418,2,12628.586009
26.367207,2,12684.267134
31.312754,2,12749.383203
0.257825,2,12756.071161
21.620483,2,12797.731417
25.841986,2,12852.379139
4.322285,2,12867.442852
28.764449,2,12928.165988
36.296055,2,13001.858947
66.705381,2,13132.229077
18.621859,2,13170.280955
3.835787,2,13186.093897
4.951133,2,13204.854071
50.493004,2,13300.149036
31.500362,2,13363.313616
21.918606,2,13407.268646
20.243942,2,13451.375491
62.442432,2,13568.410564
10.760976,2,13592.169794
15.606926,2,13625.417776
46.42405,2,13710.514596
4.238298,2,13726.039208
29.586878,2,13782.280721
13.091605,2,13814.336476
43.625899,2,13896.47318
24.45784,2,13944.897528
42.837353,2,14029.653526
1.44991,2,14038.756198
64.769972,2,14165.893745
37.403896,2,14242.712332
14.955785,2,14277.979513
23.68123,2,14325.950288
84.556741,2,14475.442893
25.953481,2,14528.908645
37.933521,2,14600.185446
22.337575,2,14651.291743
53.174734,2,14757.439538
20.782645,2,14802.346561
4.341231,2,14816.049361
37.672121,2,14890.934736
15.497964,2,14922.277931
54.560723,2,15023.745697
23.145787,2,15076.316736
23.250923,2,15124.778062
52.114259,2,15219.112034
36.444437,2,15295.948309
64.99727,2,15416.46718
35.747085,2,15483.692116
6.532663,2,15506.321613
46.91321,2,15594.074424
5.147823,2,15610.418906
18.267011,2,15652.174266
38.449978,2,15725.141027
25.378734,2,15771.093021
19.419918,2,15808.510195
47.879161,2,15899.915668
33.420319,2,15968.909945
40.809486,2,16045.208983
37.291366,2,16121.007246
10.56604,2,16143.31951
62.291364,2,16260.03715
37.449793,2,16335.171941
13.862857,2,16369.889366
55.844848,2,16481.949079
58.963215,2,16597.287172
9.504033,2,16624.016137
10.385185,2,16649.619972
36.815739,2,16725.803182
55.01322,2,16829.761144
7.170663,2,16849.40244
71.132569,2,16982.218965
15.365385,2,17018.989004
9.909603,2,17043.561653
48.549701,2,17133.973078
4.363357,2,17148.351017
26.347902,2,17206.829786
37.689867,2,17279.555401
19.862445,2,17323.255087
51.075619,2,17423.154645
34.644451,2,17494.621416
7.659845,2,17514.624051
58.127034,2,17619.532134
12.27224,2,17649.620242
19.049854,2,17689.438338
56.803965,2,17793.019327
24.153317,2,17840.912134
24.335934,2,17892.897349
0.495898,2,17900.25369
52.090751,2,18004.170943
14.862268,2,18040.952532
37.419732,2,18117.445959
27.234064,2,18173.064332
71.802165,2,18302.504204
30.75685,2,18370.699833
41.354224,2,18445.025839
46.956466,2,18529.633559
20.895351,2,18576.198862
41.386072,2,18654.580727
17.505595,2,18694.579939
20.197848,2,18739.769334
4.143545,2,18754.380687
64.821805,2,18879.541434
1.701755,2,18889.141936
2.554426,2,18903.009121
